"","Original","New"
"4","tBodyAcc-mean()-X","timeBodyAcceleration-mean()-X"
"5","tBodyAcc-mean()-Y","timeBodyAcceleration-mean()-Y"
"6","tBodyAcc-mean()-Z","timeBodyAcceleration-mean()-Z"
"7","tBodyAcc-std()-X","timeBodyAcceleration-std()-X"
"8","tBodyAcc-std()-Y","timeBodyAcceleration-std()-Y"
"9","tBodyAcc-std()-Z","timeBodyAcceleration-std()-Z"
"10","tGravityAcc-mean()-X","timeGravityAcceleration-mean()-X"
"11","tGravityAcc-mean()-Y","timeGravityAcceleration-mean()-Y"
"12","tGravityAcc-mean()-Z","timeGravityAcceleration-mean()-Z"
"13","tGravityAcc-std()-X","timeGravityAcceleration-std()-X"
"14","tGravityAcc-std()-Y","timeGravityAcceleration-std()-Y"
"15","tGravityAcc-std()-Z","timeGravityAcceleration-std()-Z"
"16","tBodyAccJerk-mean()-X","timeBodyAccelerationJerk-mean()-X"
"17","tBodyAccJerk-mean()-Y","timeBodyAccelerationJerk-mean()-Y"
"18","tBodyAccJerk-mean()-Z","timeBodyAccelerationJerk-mean()-Z"
"19","tBodyAccJerk-std()-X","timeBodyAccelerationJerk-std()-X"
"20","tBodyAccJerk-std()-Y","timeBodyAccelerationJerk-std()-Y"
"21","tBodyAccJerk-std()-Z","timeBodyAccelerationJerk-std()-Z"
"22","tBodyGyro-mean()-X","timeBodyGyro-mean()-X"
"23","tBodyGyro-mean()-Y","timeBodyGyro-mean()-Y"
"24","tBodyGyro-mean()-Z","timeBodyGyro-mean()-Z"
"25","tBodyGyro-std()-X","timeBodyGyro-std()-X"
"26","tBodyGyro-std()-Y","timeBodyGyro-std()-Y"
"27","tBodyGyro-std()-Z","timeBodyGyro-std()-Z"
"28","tBodyGyroJerk-mean()-X","timeBodyGyroJerk-mean()-X"
"29","tBodyGyroJerk-mean()-Y","timeBodyGyroJerk-mean()-Y"
"30","tBodyGyroJerk-mean()-Z","timeBodyGyroJerk-mean()-Z"
"31","tBodyGyroJerk-std()-X","timeBodyGyroJerk-std()-X"
"32","tBodyGyroJerk-std()-Y","timeBodyGyroJerk-std()-Y"
"33","tBodyGyroJerk-std()-Z","timeBodyGyroJerk-std()-Z"
"34","tBodyAccMag-mean()","timeBodyAccelerationMagnitude-mean()"
"35","tBodyAccMag-std()","timeBodyAccelerationMagnitude-std()"
"36","tGravityAccMag-mean()","timeGravityAccelerationMagnitude-mean()"
"37","tGravityAccMag-std()","timeGravityAccelerationMagnitude-std()"
"38","tBodyAccJerkMag-mean()","timeBodyAccelerationJerkMagnitude-mean()"
"39","tBodyAccJerkMag-std()","timeBodyAccelerationJerkMagnitude-std()"
"40","tBodyGyroMag-mean()","timeBodyGyroMagnitude-mean()"
"41","tBodyGyroMag-std()","timeBodyGyroMagnitude-std()"
"42","tBodyGyroJerkMag-mean()","timeBodyGyroJerkMagnitude-mean()"
"43","tBodyGyroJerkMag-std()","timeBodyGyroJerkMagnitude-std()"
"44","fBodyAcc-mean()-X","freqBodyAcceleration-mean()-X"
"45","fBodyAcc-mean()-Y","freqBodyAcceleration-mean()-Y"
"46","fBodyAcc-mean()-Z","freqBodyAcceleration-mean()-Z"
"47","fBodyAcc-std()-X","freqBodyAcceleration-std()-X"
"48","fBodyAcc-std()-Y","freqBodyAcceleration-std()-Y"
"49","fBodyAcc-std()-Z","freqBodyAcceleration-std()-Z"
"50","fBodyAcc-meanFreq()-X","freqBodyAcceleration-meanFreq()-X"
"51","fBodyAcc-meanFreq()-Y","freqBodyAcceleration-meanFreq()-Y"
"52","fBodyAcc-meanFreq()-Z","freqBodyAcceleration-meanFreq()-Z"
"53","fBodyAccJerk-mean()-X","freqBodyAccelerationJerk-mean()-X"
"54","fBodyAccJerk-mean()-Y","freqBodyAccelerationJerk-mean()-Y"
"55","fBodyAccJerk-mean()-Z","freqBodyAccelerationJerk-mean()-Z"
"56","fBodyAccJerk-std()-X","freqBodyAccelerationJerk-std()-X"
"57","fBodyAccJerk-std()-Y","freqBodyAccelerationJerk-std()-Y"
"58","fBodyAccJerk-std()-Z","freqBodyAccelerationJerk-std()-Z"
"59","fBodyAccJerk-meanFreq()-X","freqBodyAccelerationJerk-meanFreq()-X"
"60","fBodyAccJerk-meanFreq()-Y","freqBodyAccelerationJerk-meanFreq()-Y"
"61","fBodyAccJerk-meanFreq()-Z","freqBodyAccelerationJerk-meanFreq()-Z"
"62","fBodyGyro-mean()-X","freqBodyGyro-mean()-X"
"63","fBodyGyro-mean()-Y","freqBodyGyro-mean()-Y"
"64","fBodyGyro-mean()-Z","freqBodyGyro-mean()-Z"
"65","fBodyGyro-std()-X","freqBodyGyro-std()-X"
"66","fBodyGyro-std()-Y","freqBodyGyro-std()-Y"
"67","fBodyGyro-std()-Z","freqBodyGyro-std()-Z"
"68","fBodyGyro-meanFreq()-X","freqBodyGyro-meanFreq()-X"
"69","fBodyGyro-meanFreq()-Y","freqBodyGyro-meanFreq()-Y"
"70","fBodyGyro-meanFreq()-Z","freqBodyGyro-meanFreq()-Z"
"71","fBodyAccMag-mean()","freqBodyAccelerationMagnitude-mean()"
"72","fBodyAccMag-std()","freqBodyAccelerationMagnitude-std()"
"73","fBodyAccMag-meanFreq()","freqBodyAccelerationMagnitude-meanFreq()"
"74","fBodyBodyAccJerkMag-mean()","freqBodyBodyAccelerationJerkMagnitude-mean()"
"75","fBodyBodyAccJerkMag-std()","freqBodyBodyAccelerationJerkMagnitude-std()"
"76","fBodyBodyAccJerkMag-meanFreq()","freqBodyBodyAccelerationJerkMagnitude-meanFreq()"
"77","fBodyBodyGyroMag-mean()","freqBodyBodyGyroMagnitude-mean()"
"78","fBodyBodyGyroMag-std()","freqBodyBodyGyroMagnitude-std()"
"79","fBodyBodyGyroMag-meanFreq()","freqBodyBodyGyroMagnitude-meanFreq()"
"80","fBodyBodyGyroJerkMag-mean()","freqBodyBodyGyroJerkMagnitude-mean()"
"81","fBodyBodyGyroJerkMag-std()","freqBodyBodyGyroJerkMagnitude-std()"
"82","fBodyBodyGyroJerkMag-meanFreq()","freqBodyBodyGyroJerkMagnitude-meanFreq()"
